Sample Name,Target,Cq,,,,,,,,
pD9-K12_UA 40x,placZ,16.59,,,,,,,,
pD9-K12_UA 400x,placZ,20.11,,,,,,,,
pD9-K12_UA 4000x,placZ,23.38,,,,,,,,
pD9-K12_UA 40 000x,placZ,27.05,,,,,,,,
pD9-K12_MV 40x,placZ,24.25,,,,,,,,
pD9-K12_MV 400x,placZ,27.08,,,,,,,,
pD9-K12_MV 4000x,placZ,31.02,,,,,,,,
pD9-K12_MV 40 000x,placZ,34.21,,,,,,,,
pD9-K12_UA 40x,GFP,15.5,,,,,,,,
pD9-K12_UA 400x,GFP,18.82,,,,,,,,
pD9-K12_UA 4000x,GFP,22.43,,,,,,,,
pD9-K12_UA 40 000x,GFP,26.08,,,,,,,,
pD9-K12_MV 40x,GFP,16.26,,,,,,,,
pD9-K12_MV 400x,GFP,19.56,,,,,,,,
pD9-K12_MV 4000x,GFP,23.3,,,,,,,,
pD9-K12_MV 40 000x,GFP,27.1,,,,,,,,
pD9m2-K12_UA 40x,placZ,17.35,,,,,,,,
pD9m2-K12_UA 400x,placZ,20.62,,,,,,,,
pD9m2-K12_UA 4000x,placZ,24.22,,,,,,,,
pD9m2-K12_UA 40 000x,placZ,27.84,,,,,,,,
pD9m2-K12_MV 40x,placZ,23.49,,,,,,,,
pD9m2-K12_MV 400x,placZ,25.77,,,,,,,,
pD9m2-K12_MV 4000x,placZ,29.57,,,,,,,,
pD9m2-K12_MV 40 000x,placZ,32.96,,,,,,,,
pD9m2-K12_UA 40x,GFP,16.85,,,,,,,,
pD9m2-K12_UA 400x,GFP,20.18,,,,,,,,
pD9m2-K12_UA 4000x,GFP,23.42,,,,,,,,
pD9m2-K12_UA 40 000x,GFP,26.95,,,,,,,,
pD9m2-K12_MV 40x,GFP,16.04,,,,,,,,
pD9m2-K12_MV 400x,GFP,19.38,,,,,,,,
pD9m2-K12_MV 4000x,GFP,22.59,,,,,,,,
pD9m2-K12_MV 40 000x,GFP,26.34,,,,,,,,
pD9-K12_UA 40x,placZ,17.06,,,,,,,,
pD9-K12_UA 400x,placZ,19.96,,,,,,,,
pD9-K12_UA 4000x,placZ,23.44,,,,,,,,
pD9-K12_UA 40 000x,placZ,27.03,,,,,,,,
pD9-K12_MV 40x,placZ,24.12,,,,,,,,
pD9-K12_MV 400x,placZ,27.14,,,,,,,,
pD9-K12_MV 4000x,placZ,30.78,,,,,,,,
pD9-K12_MV 40 000x,placZ,33.89,,,,,,,,
pD9-K12_UA 40x,GFP,15.77,,,,,,,,
pD9-K12_UA 400x,GFP,19.05,,,,,,,,
pD9-K12_UA 4000x,GFP,22.57,,,,,,,,
pD9-K12_UA 40 000x,GFP,26.19,,,,,,,,
pD9-K12_MV 40x,GFP,16.71,,,,,,,,
pD9-K12_MV 400x,GFP,19.61,,,,,,,,
pD9-K12_MV 4000x,GFP,23.55,,,,,,,,
pD9-K12_MV 40 000x,GFP,26.96,,,,,,,,
pD9m2-K12_UA 40x,placZ,17.5,,,,,,,,
pD9m2-K12_UA 400x,placZ,20.75,,,,,,,,
pD9m2-K12_UA 4000x,placZ,24.18,,,,,,,,
pD9m2-K12_UA 40 000x,placZ,28.36,,,,,,,,
pD9m2-K12_MV 40x,placZ,24.11,,,,,,,,
pD9m2-K12_MV 400x,placZ,26.64,,,,,,,,
pD9m2-K12_MV 4000x,placZ,29.67,,,,,,,,
pD9m2-K12_MV 40 000x,placZ,33.05,,,,,,,,
pD9m2-K12_UA 40x,GFP,17.06,,,,,,,,
pD9m2-K12_UA 400x,GFP,20.28,,,,,,,,
pD9m2-K12_UA 4000x,GFP,24.06,,,,,,,,
pD9m2-K12_UA 40 000x,GFP,27.07,,,,,,,,
pD9m2-K12_MV 40x,GFP,16.42,,,,,,,,
pD9m2-K12_MV 400x,GFP,20.13,,,,,,,,
pD9m2-K12_MV 4000x,GFP,23.22,,,,,,,,
pD9m2-K12_MV 40 000x,GFP,26.47,,,,,,,,
pD9-K12_UA 40x,placZ,16.39,,,,,,,,
pD9-K12_UA 400x,placZ,20.27,,,,,,,,
pD9-K12_UA 4000x,placZ,23.86,,,,,,,,
pD9-K12_UA 40 000x,placZ,26.79,,,,,,,,
pD9-K12_MV 40x,placZ,24.08,,,,,,,,
pD9-K12_MV 400x,placZ,27.34,,,,,,,,
pD9-K12_MV 4000x,placZ,31.04,,,,,,,,
pD9-K12_MV 40 000x,placZ,34.3,,,,,,,,
pD9-K12_UA 40x,GFP,16.78,,,,,,,,
pD9-K12_UA 400x,GFP,19.26,,,,,,,,
pD9-K12_UA 4000x,GFP,23.24,,,,,,,,
pD9-K12_UA 40 000x,GFP,26.21,,,,,,,,
pD9-K12_MV 40x,GFP,16.86,,,,,,,,
pD9-K12_MV 400x,GFP,20.07,,,,,,,,
pD9-K12_MV 4000x,GFP,23.5,,,,,,,,
pD9-K12_MV 40 000x,GFP,26.69,,,,,,,,
pD9m2-K12_UA 40x,placZ,17.45,,,,,,,,
pD9m2-K12_UA 400x,placZ,20.69,,,,,,,,
pD9m2-K12_UA 4000x,placZ,24.39,,,,,,,,
pD9m2-K12_UA 40 000x,placZ,28.01,,,,,,,,
pD9m2-K12_MV 40x,placZ,23.25,,,,,,,,
pD9m2-K12_MV 400x,placZ,26.46,,,,,,,,
pD9m2-K12_MV 4000x,placZ,29.94,,,,,,,,
pD9m2-K12_MV 40 000x,placZ,33.09,,,,,,,,
pD9m2-K12_UA 40x,GFP,16.81,,,,,,,,
pD9m2-K12_UA 400x,GFP,20.18,,,,,,,,
pD9m2-K12_UA 4000x,GFP,23.91,,,,,,,,
pD9m2-K12_UA 40 000x,GFP,27.07,,,,,,,,
pD9m2-K12_MV 40x,GFP,16.17,,,,,,,,
pD9m2-K12_MV 400x,GFP,19.46,,,,,,,,
pD9m2-K12_MV 4000x,GFP,22.73,,,,,,,,
pD9m2-K12_MV 40 000x,GFP,26.09,,,,,,,,
