Sample Name,Target,Cq
pD9ua-K12.1,GFP,23.76
pD9ua-K12.1,GFP,26.62
pD9ua-K12.1,GFP,25.99
pD9mv-K12.1,GFP,26.13
pD9mv-K12.1,GFP,26.08
pD9mv-K12.1,GFP,25.35
pD9ua-K12.1,lacZ,25.14
pD9ua-K12.1,lacZ,24.87
pD9ua-K12.1,lacZ,25.48
pD9mv-K12.1,lacZ,35.46
pD9mv-K12.1,lacZ,34.95
pD9mv-K12.1,lacZ,34.85
pD9m2ua-K12.1,GFP,24.84
pD9m2ua-K12.1,GFP,26.2
pD9m2ua-K12.1,GFP,26.02
pD9m2mv-K12.1,GFP,28.32
pD9m2mv-K12.1,GFP,27.56
pD9m2mv-K12.1,GFP,26.82
pD9m2ua-K12.1,lacZ,24.93
pD9m2ua-K12.1,lacZ,25.14
pD9m2ua-K12.1,lacZ,25.29
pD9m2mv-K12.1,lacZ,32.9
pD9m2mv-K12.1,lacZ,32.51
pD9m2mv-K12.1,lacZ,32.23
pD9ua-K12.2,GFP,27.66
pD9ua-K12.2,GFP,28.08
pD9ua-K12.2,GFP,27.67
pD9mv-K12.2,GFP,29.33
pD9mv-K12.2,GFP,29.01
pD9mv-K12.2,GFP,28.2
pD9ua-K12.2,lacZ,26.53
pD9ua-K12.2,lacZ,26.6
pD9ua-K12.2,lacZ,26.94
pD9mv-K12.2,lacZ,35.73
pD9mv-K12.2,lacZ,37.16
pD9mv-K12.2,lacZ,35.93
pD9m2ua-K12.2,GFP,30.79
pD9m2ua-K12.2,GFP,30.18
pD9m2ua-K12.2,GFP,29.54
pD9m2mv-K12.2,GFP,30.21
pD9m2mv-K12.2,GFP,29.53
pD9m2mv-K12.2,GFP,29.05
pD9m2ua-K12.2,lacZ,28.36
pD9m2ua-K12.2,lacZ,28
pD9m2ua-K12.2,lacZ,28.58
pD9m2mv-K12.2,lacZ,35.33
pD9m2mv-K12.2,lacZ,35.28
pD9m2mv-K12.2,lacZ,35.17
pD9ua-G9,GFP,27.21
pD9ua-G9,GFP,30.91
pD9ua-G9,GFP,27.51
pD9mv-G9,GFP,27.39
pD9mv-G9,GFP,26.27
pD9mv-G9,GFP,26.27
pD9ua-G9,lacZ,25.77
pD9ua-G9,lacZ,26.13
pD9ua-G9,lacZ,25.98
pD9mv-G9,lacZ,37.28
pD9mv-G9,lacZ,36.93
pD9mv-G9,lacZ,37.04
pD9m2ua-G9,GFP,26.22
pD9m2ua-G9,GFP,26.15
pD9m2ua-G9,GFP,26.39
pD9m2mv-G9,GFP,26.06
pD9m2mv-G9,GFP,25.15
pD9m2mv-G9,GFP,25.01
pD9m2ua-G9,lacZ,26.12
pD9m2ua-G9,lacZ,25.45
pD9m2ua-G9,lacZ,25.29
pD9m2mv-G9,lacZ,31.7
pD9m2mv-G9,lacZ,31.63
pD9m2mv-G9,lacZ,32.08
