Sample Name,Target,Cq
pD9ua-K12.1,lacZ,NaN
pD9ua-K12.1,lacZ,NaN
pD9ua-K12.1,lacZ,NaN
pD9mv-K12.1,lacZ,NaN
pD9mv-K12.1,lacZ,NaN
pD9mv-K12.1,lacZ,NaN
pD9ua-K12.1,GFP,NaN
pD9ua-K12.1,GFP,NaN
pD9ua-K12.1,GFP,NaN
pD9mv-K12.1,GFP,NaN
pD9mv-K12.1,GFP,NaN
pD9mv-K12.1,GFP,NaN
pD9m2ua-K12.1,lacZ,26.31
pD9m2ua-K12.1,lacZ,26.23
pD9m2ua-K12.1,lacZ,26.53
pD9m2mv-K12.1,lacZ,33.56
pD9m2mv-K12.1,lacZ,33.6
pD9m2mv-K12.1,lacZ,33.6
pD9m2ua-K12.1,GFP,25.46
pD9m2ua-K12.1,GFP,25.82
pD9m2ua-K12.1,GFP,26.25
pD9m2mv-K12.1,GFP,26.11
pD9m2mv-K12.1,GFP,26.7
pD9m2mv-K12.1,GFP,26.71
pD9ua-K12.2,lacZ,26.7
pD9ua-K12.2,lacZ,26.11
pD9ua-K12.2,lacZ,26.25
pD9mv-K12.2,lacZ,32.26
pD9mv-K12.2,lacZ,32.59
pD9mv-K12.2,lacZ,33.74
pD9ua-K12.2,GFP,26.75
pD9ua-K12.2,GFP,26.23
pD9ua-K12.2,GFP,26.29
pD9mv-K12.2,GFP,26.42
pD9mv-K12.2,GFP,26.23
pD9mv-K12.2,GFP,26.24
pD9m2ua-K12.2,lacZ,29.03
pD9m2ua-K12.2,lacZ,29.13
pD9m2ua-K12.2,lacZ,29.06
pD9m2mv-K12.2,lacZ,37.13
pD9m2mv-K12.2,lacZ,37.25
pD9m2mv-K12.2,lacZ,38.06
pD9m2ua-K12.2,GFP,28.21
pD9m2ua-K12.2,GFP,28.32
pD9m2ua-K12.2,GFP,27.98
pD9m2mv-K12.2,GFP,27.92
pD9m2mv-K12.2,GFP,27.76
pD9m2mv-K12.2,GFP,29.1
pD9ua-A5,lacZ,28.8
pD9ua-A5,lacZ,28.52
pD9ua-A5,lacZ,28.47
pD9mv-A5,lacZ,35.04
pD9mv-A5,lacZ,34.15
pD9mv-A5,lacZ,34.44
pD9ua-A5,GFP,27.65
pD9ua-A5,GFP,27.47
pD9ua-A5,GFP,27.68
pD9mv-A5,GFP,27.77
pD9mv-A5,GFP,26.52
pD9mv-A5,GFP,26.6
pD9m2ua-A5,lacZ,NaN
pD9m2ua-A5,lacZ,NaN
pD9m2ua-A5,lacZ,NaN
pD9m2mv-A5,lacZ,NaN
pD9m2mv-A5,lacZ,NaN
pD9m2mv-A5,lacZ,NaN
pD9m2ua-A5,GFP,NaN
pD9m2ua-A5,GFP,NaN
pD9m2ua-A5,GFP,NaN
pD9m2mv-A5,GFP,NaN
pD9m2mv-A5,GFP,NaN
pD9m2mv-A5,GFP,NaN
