Sample Name,Target,Cq
pD9ua-BW25113,lacZ,25.91
pD9ua-BW25113,lacZ,26.34
pD9ua-BW25113,lacZ,26.29
pD9mv-BW25113,lacZ,33.57
pD9mv-BW25113,lacZ,33.14
pD9mv-BW25113,lacZ,34.25
pD9ua-BW25113,GFP,25.17
pD9ua-BW25113,GFP,25.67
pD9ua-BW25113,GFP,25.4
pD9mv-BW25113,GFP,27.86
pD9mv-BW25113,GFP,28.18
pD9mv-BW25113,GFP,27.96
pD9m2ua-BW25113,lacZ,28.36
pD9m2ua-BW25113,lacZ,28.97
pD9m2ua-BW25113,lacZ,28.11
pD9m2mv-BW25113,lacZ,38.26
pD9m2mv-BW25113,lacZ,38.08
pD9m2mv-BW25113,lacZ,38.97
pD9m2ua-BW25113,GFP,28.17
pD9m2ua-BW25113,GFP,27.43
pD9m2ua-BW25113,GFP,28.57
pD9m2mv-BW25113,GFP,30.52
pD9m2mv-BW25113,GFP,30.75
pD9m2mv-BW25113,GFP,30.63
pD9ua-BL21,lacZ,29.8
pD9ua-BL21,lacZ,30.1
pD9ua-BL21,lacZ,30.76
pD9mv-BL21,lacZ,36.13
pD9mv-BL21,lacZ,36.39
pD9mv-BL21,lacZ,36.16
pD9ua-BL21,GFP,30.29
pD9ua-BL21,GFP,29.8
pD9ua-BL21,GFP,29.59
pD9mv-BL21,GFP,30.75
pD9mv-BL21,GFP,31.18
pD9mv-BL21,GFP,29.97
pD9m2ua-BL21,lacZ,27.64
pD9m2ua-BL21,lacZ,27.45
pD9m2ua-BL21,lacZ,27.6
pD9m2mv-BL21,lacZ,39.24
pD9m2mv-BL21,lacZ,38.01
pD9m2mv-BL21,lacZ,38.76
pD9m2ua-BL21,GFP,26.73
pD9m2ua-BL21,GFP,26.26
pD9m2ua-BL21,GFP,26.79
pD9m2mv-BL21,GFP,30.74
pD9m2mv-BL21,GFP,30.67
pD9m2mv-BL21,GFP,31.11
